,Date,ID,TwtsTxt,User
0,2020-12-31 15:11:46+00:00,1344662540421251073,"Indian Government has decided to extend the benefit of  the Scheme for Remission of Duties and Taxes on Exported Products (RoDTEP) to all export goods with effect from January 1, 2021 

@TimsyJaipuria https://t.co/93MYNUaamy",CNBCTV18Live
1,2020-12-31 15:06:58+00:00,1344661331614576642,"#JustIn | Govt appoints Suneet Sharma as Chairman &amp; CEO, Railway Board

@awnusharma",CNBCTV18Live
2,2020-12-31 13:54:40+00:00,1344643137763827713,".@SEBI_India extends date of implementation of uniformity in applicability of NAV on realisation of funds to Feb 1

Extension provided due to operational challenges presented by AMFI; earlier date given for conformity was Jan 1 https://t.co/T6utd7jpWE",CNBCTV18Live
3,2020-12-31 13:08:49+00:00,1344631595467034624,Jindal Steel: Arm declared successful bidder for Gare Palma IV/1 Mine https://t.co/lvhQlpmSGk,CNBCTV18Live
4,2020-12-31 12:52:43+00:00,1344627547363971072,".@IDBI_Bank: Following this transaction, JV rebranded as Ageas Federal Life Insurance Company",CNBCTV18Live
5,2020-12-31 12:52:22+00:00,1344627456162992132,".@IDBI_Bank: Bank completes sale transaction of its 23% stake in IDBI Federal Life Insurance co to Ageas for a consideration of Rs 507.10 cr 

Alert: Bank's shareholding in IFLI now stands at 25% from the earlier 48% https://t.co/fwCtHGRz0I",CNBCTV18Live
6,2020-12-31 12:49:54+00:00,1344626838010642432,"FIIs net buy Rs 1,135.59 cr while DIIs net sell Rs 257.64 cr in equities today (provisional) https://t.co/JCuX0eascd",CNBCTV18Live
7,2020-12-31 12:45:42+00:00,1344625779120881668,"#CBSEBoardExams from May 4 to June 10, results around July 15: Education Minister Ramesh Pokhriyal Nishank",CNBCTV18Live
8,2020-12-31 12:40:32+00:00,1344624480363053056,"Ramesh Pokhriyal Nishank, Union Cabinet Minister for Education Announces the date of commencement for #CBSE board exams 2021:- Class 10, 12 board exams to start from May 4 https://t.co/iefp7C0oLW",CNBCTV18Live
9,2020-12-31 11:50:11+00:00,1344611809400012801,Core Sector Data | November Eight Core Industries growth at -2.6% vs -0.9% in October https://t.co/1Lhbl1wAgh,CNBCTV18Live
10,2020-12-31 11:16:49+00:00,1344603412311068672,"CNBC-TV18 newsbreak confirmed, Labour Minister says @FinMinIndia approved 8.5% EPF interest rate for FY20",CNBCTV18Live
11,2020-12-31 10:56:08+00:00,1344598206118723584,The government has selected Milliman Advisors LLP India as the Reporting Actuary for the  Embedded Value of LIC. Work to start soon: @SecyDIPAM https://t.co/bLmpiVp3WD,CNBCTV18Live
12,2020-12-31 10:48:30+00:00,1344596284213137408,"#Sources to @Sapna_CNBC: Govt sticks to 8.5% as EPF interest rate for FY20. 

Gains from sale of ETF holdings higher than expected. 

Gains from #ETF sales around Rs 3,000 cr which helped meet FY20 #EPF rate of 8.5%. https://t.co/05xmti5fXe",CNBCTV18Live
13,2020-12-31 10:45:12+00:00,1344595453241819139,"#Fiscal Deficit Data | April-November fiscal deficit at Rs 10.76 lk cr vs Rs 8.08 lk cr (YoY), at 135.1% of the Rs 7.96 lk cr #Budget aim https://t.co/goyRo0vsBn",CNBCTV18Live
14,2020-12-31 10:41:56+00:00,1344594631154044928,"#Fiscal Deficit Data | November fiscal deficit at Rs 1.22 lk cr vs Rs 87,400 cr (YoY) https://t.co/dsg99DkndF",CNBCTV18Live
15,2020-12-31 10:38:39+00:00,1344593805131960327,"#CNBCTV18Exclusive | Zia Mody says the cheque sizes to rescue firms have become larger.

The IBC will come back in April which will lead to more deals, she adds. https://t.co/3cv3DND0pO",CNBCTV18Live
