,Date,ID,TwtsTxt,User
0,2019-12-31 14:06:02+00:00,1212012037502455808,"Indian Railways:  In order to expand passenger amenities &amp; facilities at various railway stations and trains, it has become imperative to increase the fare marginally without over burdening any class of passengers",CNBCTV18Live
1,2019-12-31 14:05:42+00:00,1212011955067609088,"Indian Railways: The last fare revision was done in 2014-15. Subsequently, there has been a steady up-gradation &amp; expansion of amenities, both off-board &amp; on-board. https://t.co/ctcz6IZpjJ",CNBCTV18Live
2,2019-12-31 12:54:15+00:00,1211993972962234368,"#November #FiscalDeficit Data | Fiscal deficit at Rs 87,400 cr Vs Rs 68,000 cr (YoY) https://t.co/cKShGexFf2",CNBCTV18Live
3,2019-12-31 12:46:44+00:00,1211992082916626432,Coming up at 6:30 pm: Lessons from 2019 &amp; a look ahead to 2020. How to approach your portfolio?What are the investment themes that could stand out? Catch @SurabhiUpadhyay in conversation with NS Venkatesh of @amfiindia &amp; Nimish Shah of BNP Paribas Wealth Mgmt on MONEY MONEY MONEY https://t.co/TUTfVPlDun,CNBCTV18Live
4,2019-12-31 12:26:00+00:00,1211986862052560896,"Coming Up At 6:30 pm | Lessons from 2019 &amp; a look ahead to 2020! How to approach your portfolio? Investment themes that are likely to stand out. Catch @surabhiupadhayay in conversation with @amfiindia CEO NS Venkatesh &amp; Nimish Shah, Head, BNP Paribas Wealth Mgmt https://t.co/3t2owW5esU",CNBCTV18Live
5,2019-12-31 11:58:22+00:00,1211979910509547521,"#November Core Sector Data | Eight core industries growth at -1.5% Vs -5.8% (MoM)

#coresector #macros #macroeconomics #economy #growth #output #infra https://t.co/MeJe1hR9mY",CNBCTV18Live
6,2019-12-31 11:55:00+00:00,1211979063344033792,@RBI .@RBI: July-Sep current account deficit contracted due to lower trade deficit,CNBCTV18Live
7,2019-12-31 11:54:36+00:00,1211978961703407617,.@RBI: July-Sep current account deficit at $6.3 bn vs $19.0 bn (YoY); at 0.9% of GDP vs 2.9% of GDP (YoY) https://t.co/NDKdk4YZnP,CNBCTV18Live
8,2019-12-31 11:53:22+00:00,1211978651425574912,#Gilts At Close | 6.45% 2029 bond ends down 5 paise at Rs 99.24; yield at 6.55% https://t.co/zrC1ZxSjMb,CNBCTV18Live
9,2019-12-31 11:29:18+00:00,1211972594934542337,"@ShereenBhan Infrastructure Task Force Recommendation: Project pipeline for the next two years should be finalised within the next 3 months

@ShereenBhan https://t.co/7YzzXsDbi7",CNBCTV18Live
10,2019-12-31 11:26:55+00:00,1211971993668476928,"Infrastructure Task Force Recommendation: Asset monetisation is critical for #infrastructure sectors, as the asset owning ministries, CPSEs and local bodies can reduce their debt burden by monetising their asset portfolio for further investment in creation of assets

@ShereenBhan https://t.co/xn59d809DF",CNBCTV18Live
11,2019-12-31 11:17:18+00:00,1211969573651484672,"Huawei 5G trials: Swadeshi Jagran Manch opposes permit to Chinese telecom company, writes to PM Modi

https://t.co/7LqudiVuxB",CNBCTV18Live
12,2019-12-31 11:16:37+00:00,1211969403098501121,April-Nov fiscal gap at Rs 8.078 lk cr Vs Rs 7.038 lk cr budget aim https://t.co/WtpeleYTbT,CNBCTV18Live
13,2019-12-31 10:43:03+00:00,1211960953442430976,@ShereenBhan @latha_venkatesh @_anujsinghal #MarketIn2019 | Indiabulls Housing Fin and Glenmark Pharma are the biggest #midcap losers of 2019 https://t.co/LCP0BNwCD3,CNBCTV18Live
14,2019-12-31 10:41:54+00:00,1211960665948082176,@ShereenBhan @latha_venkatesh @_anujsinghal #MarketIn2019 | Manappuram Fin and SRF are the top #Midcap gainers of 2019 https://t.co/K9dSODhyvD,CNBCTV18Live
15,2019-12-31 10:40:35+00:00,1211960332354080768,@ShereenBhan @latha_venkatesh @_anujsinghal #MarketIn2019 | Yes Bank and Zee Ent are the biggest Nifty losers of 2019 https://t.co/gpBGjk3BdV,CNBCTV18Live
16,2019-12-31 10:39:21+00:00,1211960022051115009,@ShereenBhan @latha_venkatesh @_anujsinghal #MarketIn2019 | Bajaj Finance and Bharti Airtel are the top #Nifty gainers of 2019 https://t.co/vPbjbr01aV,CNBCTV18Live
