,Date,ID,TwtsTxt,User
0,2021-12-31 16:17:22+00:00,1476950618296119298,"#COVID29 IN DELHI | 1796 cases in Delhi, up from 1313 cases

2.44% positivity rate

226 of total 8043 bed occupied https://t.co/RHqKWmdpFz",CNBCTV18Live
1,2021-12-31 15:54:42+00:00,1476944912855838721,".@mybmc Commissioner to CNBC-TV18: We are monitoring the situation 24x7

People must show self discipline &amp; observe covid appropriate behaviour.

We can jointly tide over this in 4-6 weeks

No need to panic

#COVID19 @ShereenBhan",CNBCTV18Live
2,2021-12-31 15:48:03+00:00,1476943241882718209,"#COVID19 in Mumbai: 5632 positive patients.

7:8 percent of total beds occupied. https://t.co/Eq97t909eG",CNBCTV18Live
3,2021-12-31 15:13:40+00:00,1476934589746540548,"After reviewing the cash position of the Central Government, the Government of India, in consultation with Reserve Bank of India, has decided to notify the amounts for the issuance of Treasury Bills for quarter ending March 2022.

Click here for details: https://t.co/DJvKNa39xj https://t.co/1rfHAeCz7D",CNBCTV18Live
4,2021-12-31 13:56:01+00:00,1476915045212712960,"Union Health Secretary Rajesh Bhushan and ICMR DG Dr. Balram Bhargava write to chief secretaries of all states/UTs 
Asks to test all those with cold, cough, headache and fever as suspected covid patients. https://t.co/JkwiFTw06l",CNBCTV18Live
5,2021-12-31 13:54:40+00:00,1476914705209835521,Fin Min Keeps Small Savings Unchanged for Q4 FY22 https://t.co/sCfdp1NCQE,CNBCTV18Live
6,2021-12-31 13:19:08+00:00,1476905764044292097,West End Housing Finance applies for Small Finance Bank license https://t.co/gA0e6cmayE,CNBCTV18Live
7,2021-12-31 12:32:57+00:00,1476894140898037760,July to September #CurrentAccountDeficit 1.3% of GDP Vs 2.4% GDP surplus YoY https://t.co/WwiYGS0p6K,CNBCTV18Live
8,2021-12-31 12:03:38+00:00,1476886764228800512,"Apr-Nov eight #CoreIndustries growth at 13.7% Vs -11.1% (YoY).

Nov #CoreSector growth at 3.1% Vs 8.4% (MoM) https://t.co/mKuoG2WiEX",CNBCTV18Live
9,2021-12-31 11:50:26+00:00,1476883440473567237,"Sources to CNBC-TV18: Today's (31-Dec-2021) count till 05 pm 

ITR filing count: 26,86,581
Total ITRs filed: 5,69,36,838
Last Hour: 3,90,276

@TimsyJaipuria reports. https://t.co/iwrHXWKNAq",CNBCTV18Live
10,2021-12-31 11:37:26+00:00,1476880170036330498,"Apr-Nov #fiscal gap at Rs 6.96 lk cr Vs Rs 10.76 lk cr (YoY)

Apr-Nov fiscal gap 46.2% of the Rs 15.07 lk cr FY22 target

Nov #fiscaldeficit at Rs 1.49 lk cr Vs Rs 1.22 lk cr (YoY) https://t.co/RJX6Rtptk1",CNBCTV18Live
11,2021-12-31 10:45:24+00:00,1476867077147291649,"There is no proposal to extend the deadline to file income tax returns: Revenue Secy Tarun Bajaj 

#tax #returns #incometax https://t.co/L3C1co8ib3",CNBCTV18Live
12,2021-12-31 10:33:17+00:00,1476864028592914432,"#MarketThisWeek |  Midcap Gainers
Responsive Ind Up 55.3%, Jubilant Ind Up 41.7%, IDFC Up 21.2%, Barbeque Nation Up 17.5%, Texrail Up 15.2%, Dhanuka Agritech Up 13.6%

Midcap Losers
RBL Bank Down 26.5%, Dilip Buildcon Down 7.7%, MOIL Down 6.1%, Fino Payments Bank Down 5.2% https://t.co/u8Lfu5T9Bd",CNBCTV18Live
13,2021-12-31 10:31:44+00:00,1476863637323091968,"#MarketThisWeek | #Sensex Up 2%, #Nifty Up 2.1%

Nifty Bank Up 1.8%, Midcap Index Up 2.8%

Nifty Pharma Up 5.4%, Nifty Auto Up 3%, Nifty IT Up 2.6%

Nifty PSU Bank Up 1.4%, Nifty PSE Up 1.3%

Nifty Metal Up 0.5%, Nifty Media Down 1% https://t.co/wH16P7aagc",CNBCTV18Live
14,2021-12-31 10:27:15+00:00,1476862510414254082,"#MarketThisYear | RBL Bank sheds 45% in 2021 after sliding more than 25% this week.

2021 – a year clearly for metals – sees Nifty metal as the biggest sectoral gainer.

All sectoral indices end in the green this year https://t.co/BE52EPeNss",CNBCTV18Live
