,Date,ID,TwtsTxt,User
31,2018-12-31 10:42:12+00:00,1079689171969675265,#MarketIn2018 |Here’s the list of top Nifty losers &amp; Midcap gainers in the year 2018 https://t.co/uLa5G2pIMk,CNBCTV18Live
32,2018-12-31 10:23:20+00:00,1079684421479936001,#MarketIn2018 | Benchmark indices close the year 2018 with minor gains while Midcap Index sees its worst yearly performance since 2011 https://t.co/lptpiOLpWc,CNBCTV18Live
33,2018-12-31 10:20:57+00:00,1079683822327943168,#JustIn | Shriram Transport raises Rs 550 cr via December 2024 bond at 10.25%,CNBCTV18Live
34,2018-12-31 10:19:11+00:00,1079683379589722117,#MarketAtClose | Market breadth in favour of advances; advance-decline ratio at 3:2 https://t.co/ebwyhoX9i4,CNBCTV18Live
35,2018-12-31 10:18:23+00:00,1079683178347094016,"#MarketAtClose | Metal stocks lead the gains; JSW Steel, Tata Steel &amp; Vedanta top index gainers https://t.co/3zyXaxfyxq",CNBCTV18Live
36,2018-12-31 10:17:55+00:00,1079683057207132161,"#MarketAtClose | @AxisBank, HDFC &amp; Maruti drag index lower while @KotakBankLtd &amp; JSW Steel provide support https://t.co/1tdxk0SapZ",CNBCTV18Live
37,2018-12-31 10:16:48+00:00,1079682778373865473,#MarketAtClose | @KotakBankLtd 's surge in the last hour provides support to #Nifty Bank https://t.co/mDmFuMFlI2,CNBCTV18Live
38,2018-12-31 10:15:47+00:00,1079682520931803136,"#MarketAtClose | Market fails to hold on to gains on the last trading day of 2018. #Sensex ends flat with a negative bias, #Nifty falls more than 60 points from day’s high; Nifty Midcap index outperforms peers to end around 0.5% higher https://t.co/HzCcEgTAOj",CNBCTV18Live
39,2018-12-31 10:14:24+00:00,1079682174679277570,#JustIn | Lupin receives @US_FDA approval for Clobazam Oral Suspension https://t.co/3Q4aQt5Mtw,CNBCTV18Live
40,2018-12-31 10:11:16+00:00,1079681386351607808,#JustIn | Fortis Health appoints BSR &amp; Co as the auditor; Co also appoints Shirish Moreshwar Apte as the Additional Director designated as ‘Vice Chairman’ of the Company with immediate effect https://t.co/qtN3mhM4Sh,CNBCTV18Live
41,2018-12-31 10:03:02+00:00,1079679315594305537,#GetRichWithCNBCTV18 | On the last Monday of 2018 @SharmsJoshi discusses invst ideas for 2019 with @Nigel__DSouza https://t.co/rWzFYIEAUP,CNBCTV18Live
42,2018-12-31 09:44:38+00:00,1079674685053329408,.@EvereadyIndia has given investors 'red' in 2018 but H2FY19 appears to be better. @Nigel__DSouza with #MidcapMania https://t.co/cCaZKXusvT,CNBCTV18Live
43,2018-12-31 09:24:56+00:00,1079669725477494784,"#JustIn | Syndicate Bank: Received Rs 1,632 cr from Govt as preferential allotment https://t.co/eJdWWsRPQO",CNBCTV18Live
44,2018-12-31 09:06:14+00:00,1079665017941708801,Music Broadcast approves 5-for-1 stock split,CNBCTV18Live
45,2018-12-31 09:01:49+00:00,1079663909169057792,#JustIn | Rajya Sabha adjourned for the day https://t.co/81QJF3GIqG,CNBCTV18Live
46,2018-12-31 07:38:53+00:00,1079643037100212225,"India aims to sign Free Trade Agreement with Mauritius during PM Jugnauth’s visit in 3rd week of January, Sources tell @rituparnabhuyan https://t.co/L7OdlC47lw",CNBCTV18Live
47,2018-12-31 07:23:54+00:00,1079639266488020992,"On 2018's last trading day, @_anujsinghal &amp; @ekta_batra take a look back at the year &amp; what to watch for in 2019 https://t.co/EcLEUHXyIi",CNBCTV18Live
48,2018-12-31 06:59:59+00:00,1079633249301753858,Hyderabad High Court sets aside ED's provisional order to attach Rs 822 cr worth fixed deposits belonging to @tech_mahindra: PTI https://t.co/nyXoek1Ymi,CNBCTV18Live
49,2018-12-31 06:50:27+00:00,1079630846636638208,"#CNBCTV18Market | Market fails to hold the opening gains, #Sensex &amp; #Nifty turn negative https://t.co/zJ9jZwXzwi",CNBCTV18Live
50,2018-12-31 06:48:52+00:00,1079630448899178496,Future Lifestyle promoter creates pledge on 26 lakh shares on December 21,CNBCTV18Live
51,2018-12-31 06:48:14+00:00,1079630292573278209,Future Consumer promoter creates pledge on 2.1 cr shares on December 21,CNBCTV18Live
52,2018-12-31 06:41:15+00:00,1079628531728932865,Future Retail promoter creates pledge on 38 lakh shares on December 21,CNBCTV18Live
53,2018-12-31 05:54:06+00:00,1079616666915356672,"RBI says average base rate to be charged by NBFC-MFIs to borrowers raised to 9.15% for Q4 Vs 9.02% in Q3

CNBC-TV18 Alert: Lending rates raised as cost of funds likely to have increased for NBFC-MFIs https://t.co/fT8U0RnSoK",CNBCTV18Live
54,2018-12-31 05:47:48+00:00,1079615081082630146,". @RBI says applicable average base rate to be charged by Non-Banking Financial Company – Micro Finance Institutions (NBFC-MFIs) to their borrowers for the quarter beginning January 01, 2019 will be 9.15% https://t.co/8MraMQVc2v",CNBCTV18Live
55,2018-12-31 05:39:32+00:00,1079613000150003712,. @bankofbaroda hikes base rate by 10 bps to 9.4% and benchmark prime lending rate by 10 bps to 13.7% https://t.co/d8ygtIi18Z,CNBCTV18Live
56,2018-12-31 05:29:54+00:00,1079610576295419905,". @Raamdeo joins us this morning on CNBC-TV18, hopeful of an earnings surge in the next couple of years https://t.co/kuSRCDTHUg",CNBCTV18Live
57,2018-12-31 05:19:46+00:00,1079608027932692480,"Jain Irrigation's promoter releases pledge on 11 lakh shares (0.2% equity), on December 21",CNBCTV18Live
58,2018-12-31 05:07:43+00:00,1079604996423876608,"Rel Communications and Reliance Jio have extended validity of agreements
signed on Dec 28, 2017 for sale of Towers, Fiber, MCNs and
Spectrum of Rel Comm &amp; its affiliates to June 28, 2019. Transactions 
to be consummated are subject to various approvals that are in
progress https://t.co/8H7Ifr9F4T",CNBCTV18Live
59,2018-12-31 04:46:52+00:00,1079599747000745986,#Crude trades higher with both Brent &amp; Nymex up over 1% each https://t.co/uz0Rcc6Ju3,CNBCTV18Live
60,2018-12-31 04:34:20+00:00,1079596594402455558,"CY2018 has been good for the company with volumes up 20%, says Sobha https://t.co/FsDKmJB1PF",CNBCTV18Live
61,2018-12-31 04:30:48+00:00,1079595703414906880,"Real estate sector trends look positive for 2019. Expect some relaxation in GST rates, syas Brigade Enterprises https://t.co/gP3lzqC8IQ",CNBCTV18Live
62,2018-12-31 04:29:47+00:00,1079595447021297664,"It's time to get some queries answered! Send in your market-related questions using #AskCNBCTV18 &amp; get them cleared by top experts at 11:30 am today, on CNBC-TV18 https://t.co/eY9KXct6q3",CNBCTV18Live
63,2018-12-31 04:26:19+00:00,1079594576908709888,"Market to look forward to 2019 hoping earnings momentum continues, says @NileshShah68 of Kotak Mahindra AMC https://t.co/5h19MdnYrg",CNBCTV18Live
64,2018-12-31 04:22:33+00:00,1079593626714333186,"L&amp;T Construction wins orders  worth Rs 2,084 cr https://t.co/ZsNbDEutyg",CNBCTV18Live
65,2018-12-31 03:50:29+00:00,1079585558106501123,Index losers led by OMCs #CNBCTV18Market https://t.co/tb1q8JjO40,CNBCTV18Live
66,2018-12-31 03:49:13+00:00,1079585238618128384,Here are the index gainers this morning https://t.co/SmXKbtEyMe,CNBCTV18Live
67,2018-12-31 03:47:40+00:00,1079584847608381441,"#CNBCTV18Market | Market opens with gains of 0.6%; Nifty approaches 11,000 mark with metals leading

For more LIVE updates, log on to https://t.co/OjZ0Zlo7VM https://t.co/5D2IWO3532",CNBCTV18Live
68,2018-12-31 03:45:01+00:00,1079584184392273920,"#MarketOpening | Market opens higher; nifty approaching 11,000 https://t.co/o6vCnszSV2",CNBCTV18Live
69,2018-12-31 03:31:59+00:00,1079580902542299137,#Rupee opens higher https://t.co/itwCDwTdr3,CNBCTV18Live
70,2018-12-31 03:18:23+00:00,1079577478962700290,"Market spooked on Friday due to unconfirmed reports of farm loan waivers; may see bond yield at around 7.35%, UTI MF tells CNBC-TV18",CNBCTV18Live
71,2018-12-31 03:12:28+00:00,1079575990605631489,"What will #rupee trade at, today? https://t.co/hs3nI02Z6V",CNBCTV18Live
72,2018-12-31 02:59:19+00:00,1079572679844196352,Here's the list of #StocksToWatch today https://t.co/oFT8b8BTAq,CNBCTV18Live
73,2018-12-31 02:02:23+00:00,1079558354786082816,#FuelPriceCut | Petrol &amp; Diesel prices have been cut in the four major cities https://t.co/qDyqHVRd37,CNBCTV18Live
74,2018-12-31 01:57:41+00:00,1079557169538723840,#CNBCTV18Market | PhillipCap says current price is an opportune time to buy the stock such as NCC https://t.co/z75qGxwiNP,CNBCTV18Live
75,2018-12-31 01:57:07+00:00,1079557029100802050,"#CNBCTV18Market | Long-term Outlook for Axis Bank looks positive but may remain volatile in near term, says Emkay https://t.co/PlFfMl2YkJ",CNBCTV18Live
76,2018-12-31 01:56:55+00:00,1079556979251589121,#CNBCTV18Market | Emkay believes SBI offers a good near-term trade on NPA recovery https://t.co/dbQyQUWM7k,CNBCTV18Live
77,2018-12-31 01:50:20+00:00,1079555321020899330,"#CNBCTV18Market | Amongst the few Asian markets that are open for trade, Hang Seng is up nearly 1% and SGX Nifty indicates a positive for the Indian equities https://t.co/xTpYKURWqQ",CNBCTV18Live
78,2018-12-31 01:36:04+00:00,1079551730407268353,Cadila Health's Zydus also gets tentative @US_FDA nod for Pregabalin capsules,CNBCTV18Live
